Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Alokbaran Pal,male,1946-02-01T00:00:00Z,Not Available,Not Available,2004-11-01T00:00:00Z,2008-01-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1973,Not Available,No,No,No,,2004-11-01 00:00:00+00:00
Amitava Roy,male,1953-03-01T00:00:00Z,West Bengal,Kolkata,2002-02-04T00:00:00Z,2018-03-01T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Rajasthan,Orissa,Not Applicable,Yes,2015-02-27T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Dibrugarh University,1976,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,,2002-02-04 00:00:00+00:00
Ananga Kumar Patnaik,male,1949-06-03T00:00:00Z,Not Available,Not Available,1994-01-13T00:00:00Z,2014-06-02T00:00:00Z,No,No,Orissa,Yes,Gauhati,1994-02-07T00:00:00Z,Orissa,2002-04-15T00:00:00Z,Not Applicable,Not Applicable,Yes,Chattisgarh,Madhya Pradesh,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Rajkumar College, Raipur",Delhi University,Arts,"Madhusudan Law College, Cuttack",Not Available,1974,Orissa,No,No,Yes,,1994-01-13 00:00:00+00:00
Anima Hazarika,female,1952-01-01T00:00:00Z,Not Available,Not Available,2004-11-01T00:00:00Z,2013-12-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1978,Not Available,No,No,No,,2004-11-01 00:00:00+00:00
Anup Deb,male,1943-01-02T00:00:00Z,Not Available,Not Available,1994-12-16T00:00:00Z,2002-03-12T00:00:00Z,No,No,Sikkim,Yes,Gauhati,1995-02-09T00:00:00Z,Orissa,1996-04-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,No,Yes,No,Not Available,Not Available,Not Available,"University College of Law, Calcutta",Not Available,1972,West Bengal,No,No,No,,1994-12-16 00:00:00+00:00
Arun Chandra Upadhyay,male,1951-07-27T00:00:00Z,Not Available,Not Available,2008-12-28T00:00:00Z,2013-07-26T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Science,University of Law College under the Gauhati University,Not Available,1976,Not Available,No,No,No,,2008-12-28 00:00:00+00:00
Arup Kumar Goswami,male,1961-03-11T00:00:00Z,Assam,Jorhat,2011-01-24T00:00:00Z,2023-03-10T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Sikkim,Andhra Pradesh,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Cotton College under Gauhati University,Economics,"Government Law College, GuwahatI under Gauhati University",1985,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,,2011-01-24 00:00:00+00:00
Asok Potsangbam,male,1949-04-21T00:00:00Z,Manipur,Imphal,2007-09-26T00:00:00Z,2013-05-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,No,No,No,Not Available,Calcutta University,Arts,Delhi University,1974,Not Available,Not Available,No,No,No,,2007-09-26 00:00:00+00:00
B. Sudershan Reddy,male,1946-07-08T00:00:00Z,Andhra Pradesh,"Akula Mylaram Village, erstwhile Ibrahimpatnam Taluq, presently Kandukur Revenue Mandal, Rangareddy District",1995-05-02T00:00:00Z,2011-07-07T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Not Applicable,Not Applicable,Yes,2007-01-12T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,Yes,Not Available,Not Available,Not Available,"Osmania University, Hyderabad",Not Available,1971,Andhra Pradesh,No,No,No,,1995-05-02 00:00:00+00:00
Basu Agarwal,male,1952-06-17T00:00:00Z,Assam,"Chaparmukh, District Nagaon",2006-10-12T00:00:00Z,2014-06-16T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1971,Not Available,Not Available,No,No,No,,2006-10-12 00:00:00+00:00
Beryl Lamare,male,1943-12-23T00:00:00Z,Not Available,Not Available,2000-11-15T00:00:00Z,2005-12-22T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1975,Not Available,No,No,No,,2000-11-15 00:00:00+00:00
Biplab Kumar Sarma,male,1954-02-01T00:00:00Z,Assam,Guwahati,2003-12-02T00:00:00Z,2016-01-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,Not Available,Gauhati University,Science,Gauhati University,Not Available,1977,Not Available,No,Yes,Yes,,2003-12-02 00:00:00+00:00
Bishwendra Singh,male,1939-02-10T00:00:00Z,Not Available,Not Available,1994-03-16T00:00:00Z,2001-02-09T00:00:00Z,No,No,Patna,Yes,Gauhati,1994-04-25T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,,1994-03-16 00:00:00+00:00
Biswendu Deb,male,1946-01-03T00:00:00Z,Not Available,Not Available,2000-11-15T00:00:00Z,2003-04-13T00:00:00Z,Yes,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1972,Not Available,No,No,No,,2000-11-15 00:00:00+00:00
Brojendra Katakey,male,1952-06-28T00:00:00Z,Not Available,Not Available,2004-11-01T00:00:00Z,2014-06-27T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,Not Available,"Darrang College, Tezpur",Science,"University Law College, under Gauhati University",Not Available,1977,Not Available,No,No,No,,2004-11-01 00:00:00+00:00
Chittaranjan Sarma,male,1954-03-01T00:00:00Z,Not Available,Not Available,2008-12-28T00:00:00Z,2016-02-29T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Science,University of Law College under the Gauhati University,Not Available,1977,Not Available,No,No,No,,2008-12-28 00:00:00+00:00
Dhiresh Chowdhury,male,1938-11-01T00:00:00Z,Not Available,Not Available,1996-01-29T00:00:00Z,2000-10-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1966,Not Available,No,No,No,,1996-01-29 00:00:00+00:00
Dinendra Biswas,male,1945-09-01T00:00:00Z,Not Available,Not Available,1997-10-31T00:00:00Z,2007-08-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1968,Not Available,No,No,No,,1997-10-31 00:00:00+00:00
Haobam Kumar Singh,male,1941-09-01T00:00:00Z,Not Available,Not Available,1997-06-26T00:00:00Z,2003-08-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1966,Not Available,No,No,No,,1997-06-26 00:00:00+00:00
Hareswar Baruah,male,1949-11-01T00:00:00Z,Not Available,Not Available,2007-07-04T00:00:00Z,2011-10-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,"Hawajan High School, Dist - Sonitpur","Darrang College, Tezpur",Science,"University Law College, Guwahati",1970,1974,Gauhati,No,No,No,,2007-07-04 00:00:00+00:00
Hirendra Nath Sarma,male,1949-02-01T00:00:00Z,Not Available,Not Available,2004-11-01T00:00:00Z,2011-01-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,Not Available,"M C College, Barpeta",Science,"J.B Law College, Guwahati",Not Available,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,,2004-11-01 00:00:00+00:00
Hitesh Kumar Sarma,male,1960-07-01T00:00:00Z,Assam,Pathsala,2017-05-19T00:00:00Z,2022-06-30T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,"MP School, Pathsala","Bajali College, Pathshala",Arts,"JB Law College, Guwahati",1973,Not Available,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,,2017-05-19 00:00:00+00:00
Hrishikesh Roy,male,1960-02-01T00:00:00Z,Not Available,Not Available,2006-10-12T00:00:00Z,2025-01-31T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Kerala,Not Applicable,Not Applicable,Yes,2019-09-23T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,"Campus Law Centre, University of Delhi",Not Available,Not Available,Not Available,No,No,No,,2006-10-12 00:00:00+00:00
Indira Shah,female,1954-08-17T00:00:00Z,Not Available,Not Available,2012-03-02T00:00:00Z,2016-08-16T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Not Available,Not Available,"University Law College, Dibrugarh",1985,1978,Not Available,No,Yes,No,,2012-03-02 00:00:00+00:00
Iqbal Ansari,male,1954-10-29T00:00:00Z,Assam,Tezpur,2002-03-04T00:00:00Z,2016-10-28T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,"Darrang College, Tezpur",Science,Tezpur Law College,1982,Not Available,Not Available,No,No,No,,2002-03-04 00:00:00+00:00
Jasti Chelameswar,male,1953-06-23T00:00:00Z,Andhra Pradesh,"Pedda Muttevi, Movya Mandal in Krishna District",1997-06-23T00:00:00Z,2018-06-22T00:00:00Z,No,No,Andhra Pradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Kerala,Not Applicable,Yes,2011-10-10T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Hindu High School at Machilipatnam in Krishna District,Madras Loyola College,Physics,"Andhra University, Visakhapatnam",Not Available,Not Available,Not Available,No,No,No,,1997-06-23 00:00:00+00:00
K. Sreedhar Rao,male,1953-10-21T00:00:00Z,Not Available,Not Available,2000-02-21T00:00:00Z,2015-10-20T00:00:00Z,No,No,Karnataka,Yes,Gauhati,2013-10-24T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1976,1976,Not Available,No,No,No,,2000-02-21 00:00:00+00:00
Kalyan Rai Surana,male,1965-12-13T00:00:00Z,Not Available,Not Available,2016-11-15T00:00:00Z,2027-12-12T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Commerce (Major in Management Accountancy & Taxation),Not Available,Not Available,1992,Not Available,No,No,No,,2016-11-15 00:00:00+00:00
Ketulhou Meruno,male,1951-03-11T00:00:00Z,Not Available,Not Available,2006-10-12T00:00:00Z,2013-03-11T00:00:00Z,Yes,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1979,Not Available,No,No,No,,2006-10-12 00:00:00+00:00
Lanusungkum Jamir,male,1964-03-01T00:00:00Z,Nagaland,"Impuh, Makokchung District",2013-05-22T00:00:00Z,2026-02-28T00:00:00Z,No,No,Gauhati,Yes,Manipur,2018-10-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,History,North Eastern Hill University,1991,1989,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,,2013-05-22 00:00:00+00:00
Madan Bhimarao Lokur,male,1953-12-31T00:00:00Z,Not Available,Not Available,1999-02-19T00:00:00Z,2018-12-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gauhati,Andhra Pradesh,Not Applicable,Yes,2012-06-04T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,"St. Josephs Collegiate, Allahabad","St. Stephen's College, Delhi University",History,"Faculty of Law, Delhi University",1988,1977,Not Available,No,No,No,,1999-02-19 00:00:00+00:00
Maibam Singh,male,1948-09-01T00:00:00Z,Manipur,Imphal,2004-11-01T00:00:00Z,2010-09-01T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Not Available,Gauhati University,B.Sc.,"Aligarh Muslim University, Aligarh",Not Available,1976,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,Yes,,2004-11-01 00:00:00+00:00
Manash Ranjan Pathak,male,1965-08-28T00:00:00Z,Assam,Guwahati,2013-05-22T00:00:00Z,2027-08-27T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,"Kendriya Vidyalaya, Khanapara, Guwahati",St. Josephs’ College,Arts,"Government Law College, Panbazar, Guwahati, Gauhati University",1977,1990,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Tripura",No,No,No,,2013-05-22 00:00:00+00:00
Manish Choudhury,male,1972-03-01T00:00:00Z,Not Available,Not Available,2019-01-18T00:00:00Z,2034-03-01T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,"Cotton College, Guwahati","Ramjas College, University of Delhi",Economics,J.B. Law College under the Gauhati University.,1972,1999,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,,2019-01-18 00:00:00+00:00
Manojit Bhuyan,male,1959-02-05T00:00:00Z,Assam,Guwahati,2017-01-03T00:00:00Z,2021-02-04T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,"Don Bosco School, Guwahati","Cotton College, Guwahati",English,Not Available,Not Available,1987,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,,2017-01-03 00:00:00+00:00
Michael Zothankhuma,male,1965-10-23T00:00:00Z,Not Available,Not Available,2015-01-07T00:00:00Z,2027-10-22T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"St. Edmund's School, Shillong",Hindu College under Delhi University.,English,Campus Law Centre under Delhi University,1987,Not Available,Not Available,No,No,No,,2015-01-07 00:00:00+00:00
Mir Ali,male,1959-04-21T00:00:00Z,Assam,Ekrabari in the district of Udalguri,2017-05-19T00:00:00Z,2021-04-20T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,No,No,No,No,No,Kharupetia High School,Mangaldoi College,Economics,Gauhati University,Not Available,1985,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,No,,2017-05-19 00:00:00+00:00
Mohan Lal Singhal,male,1938-07-10T00:00:00Z,Not Available,Not Available,1997-02-03T00:00:00Z,2000-07-09T00:00:00Z,No,No,Allahabad,Yes,Gauhati,1999-07-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,,1997-02-03 00:00:00+00:00
Mukundakam Sharma,male,1946-09-18T00:00:00Z,West Bengal,Kolkata,1994-01-10T00:00:00Z,2011-09-17T00:00:00Z,No,No,Gauhati,Yes,Patna,1994-02-14T00:00:00Z,Delhi,1994-12-12T00:00:00Z,Not Applicable,Not Applicable,Yes,Delhi,Not Applicable,Not Applicable,Yes,2008-04-09T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,Yes,No,No,No,"Cotton College, Guwahati","Ramjas College, Delhi University",Arts,Gauhati University,Not Available,Not Available,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,Yes,Yes,,1994-01-10 00:00:00+00:00
Mutum Singh,male,1950-01-27T00:00:00Z,Not Available,Not Available,2006-10-12T00:00:00Z,2012-01-27T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,1977,Not Available,No,No,No,,2006-10-12 00:00:00+00:00
Nani Tagia,male,1969-05-16T00:00:00Z,Not Available,Not Available,2018-11-19T00:00:00Z,2031-05-16T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,"Govt. Higher Secondary School, Ziro, Lower Subansiri District, Arunachal Pradesh","Govt. College, Itanagar (Arunachal University)",Arts,Campus Law Centre (Delhi University).,1986,Not Available,Not Available,No,No,No,,2018-11-19 00:00:00+00:00
Nelson Sailo,male,1968-10-09T00:00:00Z,Not Available,Not Available,2016-11-15T00:00:00Z,2030-10-09T00:00:00Z,No,No,Gauhati,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,Yes,"St. Paula's High School, Aizawl","St. Anthony's College, Shillong under the North Eastern Hill University (NEHU)",Arts,"Shillong Law College, NEHU",Not Available,1996,"Assam, Nagaland, Meghalaya, Manipur, Tripura, Mizoram, Arunachal Pradesh and Sikkim",No,No,No,,2016-11-15 00:00:00+00:00
